,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Nirman Constructions Pvt. Ltd.,,0.03,-50,-0.02,-0.76,-0.75,174,0.15,36.33,0.02,,0.03,0,0.01,0,0,176.6,0.41,22.35,0.02,,0.03,0,0,0,0,177.1,0.38,20.87,0.02,,0.03,-20,-0.02,-0.06,-0.06,176.6,0.24,22.01,0.04,,0.04,-60,0,-0.18,-0.17,177.8,0.09,18.26,0.03,19.2,0.08,30.1,0.04,3.42,3.37,177.4,1.68,79.63,0,,0.08,-16.67,-0.01,-0.06,-0.11,175.6,4,743,0,,0.09,60,0,0.17,0.17,176.1,1.5,371.25,0,,0.09,66.67,0,0.23,0.23,176.6,0.8,296.6,0,,0.06,66.67,0.03,0.23,0.23,176.8,0,493,0,,0.06,66.67,0.03,0.23,0.23,176.8,0,493,0,No,,
Nirmay City Homes Sitapur Pvt. Ltd.,,0,0,0,0,0,0.7,0.17,0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirpan Securities Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,17.24,-0.05,,,2323.9,3.13,3.78,0,,0.21,29.19,0.07,7.61,7.58,2788.1,2.51,3.41,0,,0.04,13.27,0.04,4.11,5.56,2526.9,10.04,10.12,0,,0.02,23.93,-0.18,10.88,9.86,3600.2,3.09,3.09,0.19,,0.01,15.77,0.2,7.39,5.77,5219.8,1.8,1.8,0.36,,0.01,27.99,-0.09,13.4,10.24,4256.9,3.11,3.11,0.26,,0.01,27.99,-0.09,13.4,10.24,4256.9,3.11,3.11,0.26,No,,
Nirvan Commercial Co. Ltd.,,0.12,73.68,0,3.25,3.25,44.2,48.5,48.5,0,,0.12,73.68,0,3.25,3.25,44.2,48.5,48.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nirvana Herbals Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nisha Apparels Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.92,0,0,,,14.2,0,0.99,3,0.2,0.95,0,0,0,0,15.3,0.02,1.25,9,0.2,0.96,0,-0.47,0,0,33.2,0.01,2.25,33,0.6,0.86,33.33,0.04,50,1.94,33.7,0.27,2.28,19.8,0.6,0.84,21.05,-0.11,33.33,1.84,43.1,0.27,1.92,15.14,1.5,0.96,13.33,-0.04,25.81,1.74,37.3,0.05,2.37,12.76,1.5,0.96,13.33,-0.04,25.81,1.74,37.3,0.05,2.37,12.76,No,,
Nishank Leasing Ltd.,0.1,0.04,55.56,0,3.81,3.81,28.1,9.07,9.07,0,0.1,0.04,55.56,0,3.81,3.81,28.1,9.07,9.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nishant Inbuild Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nishchint Properties Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nishel Invst. & Trdg. Co. Ltd.,,0.99,5.38,0,0.25,0.24,211.4,2,2,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nishita City Homes Sitapur Pvt. Ltd.,,0,0,0,0,0,5,0.02,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nishtha Finance & Invst. (India) Ltd.,,0.99,,0,-1.87,-0.61,31.8,0,6.98,0,,0.99,,0,-1.9,-1.9,31.7,0,6.98,0,,0.99,33.33,0.01,1.9,1.9,31.8,0.04,7.02,0,,0.75,33.33,-0.64,0.25,0.25,80.9,4.24,17.78,0,,0.85,20,-0.3,1.58,1.31,82.6,0.1,15.34,0,,0.88,0,-0.04,0,0,82,0.59,18.36,0,,0.94,20.37,-0.03,1.42,1.42,83.7,0.12,16.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Aug-16
Nishu Leasing & Finance Ltd.,,0.59,0,0,0,0.04,242.8,6,6,0,,0.59,0,0,0,0.04,242.8,6,6,0,,,,,,,,,,,,,,,,,,,,,,0.42,1.39,0.55,,,243.2,85,85,0,,0.43,4,0,0.08,0.08,246.9,2,2,0,,0.44,2.38,-0.01,0.04,0.04,247,1.43,1.43,0,,0.43,15,0,0.12,0.12,244.4,29.5,29.5,0,,0.45,7.69,-0.02,0.04,0.04,244.7,3.75,3.75,0,,0.45,7.69,-0.02,0.04,0.04,244.7,3.75,3.75,0,,,,,,,,,,,No,,
Niskalp Infrastructure Services Ltd.,115.6,0.4,25.72,0.07,,-2.29,1616.9,1.22,1.22,,3.6,0.27,0.85,-0.19,,-15.86,488.5,0.12,0.12,,3.6,0.33,26.99,-0.03,,-2.37,550.7,6.1,6.1,,3.6,0.33,52.85,-0.01,,4.6,583,6.14,6.14,,4,0.38,71.19,-0.01,,5.04,664.3,7.19,7.19,,4.4,0.33,64.03,-0.02,,4.13,643.4,34.14,34.14,,6.4,0.31,63.25,0.03,,8.47,677.7,30.02,30.02,,7.4,0.31,28.38,-0.04,,1.59,684.6,38.19,38.37,,7.4,0.31,34.64,-0.02,,2.17,699,35.8,35.8,,8.1,0.31,28.23,-0.04,,1.87,710.2,38.66,38.68,,8.1,0.31,28.23,-0.04,,1.87,710.2,38.66,38.68,,No,,
Nissan Foods Pvt. Ltd.,,,,,,,,,,,,0.7,0,0,,,12.5,,,0,,0.7,0,0,0,0,12.6,0.25,5,0,,0.26,0,0,0,0,12.6,14.25,14.25,0,,0.7,0,0,0,0,12.5,0.33,29.67,0,,0.27,0,0,0,0,12.4,27,37.5,0,,0.63,50,0,0.81,0.81,17.2,0.09,2.38,0.01,,0.54,28.57,0,1.61,1.48,15.3,1.86,13.43,0.17,,0.47,0,0,0,-1.46,12.9,9,70,0.02,,0.47,0,0,0,-1.46,12.9,9,70,0.02,,,,,,,,,,,No,,
Nissin Foods India Ltd.,1048.5,0,0.11,0.27,64.86,64.86,166.5,0.39,0.75,0,984.8,0,0.07,-0.03,25.45,25.45,187.9,0.49,0.82,0,755.2,0.04,0.11,0.09,22.86,20,186.5,0.78,0.95,0,430.2,0.05,0.09,-0.03,9.76,7.32,162.7,0.96,0.97,0,139.4,0.12,0.14,-0.42,4.55,6.82,108.9,0.9,0.92,0,53.4,0.27,1.75,-0.82,20,32,38.4,0.85,0.86,0,47.8,0.43,-3.72,-0.28,-39.13,-34.78,54.9,0.61,0.61,0,,0.62,-1900,-0.08,-69.09,-69.09,57,0.39,0.39,0,,0.66,-9300,0,,,62.9,0.3,0.3,,,0.66,-9300,0,,,62.9,0.3,0.3,,,,,,,,,,,,No,,
Nistha Traders Ltd.,0.6,0.09,0,0,0,0,99.5,,,0,13.9,0.08,0,0,0,0,99.5,,,0,23.9,0.11,0,0,0,0,99.5,,,0,,0.1,-33.33,0,-0.1,-0.1,99.4,,,0,,0.1,-25,0,-0.1,-0.1,99.3,,,0,,0.11,-33.33,0,-0.1,-0.1,99.1,,,0,,0.11,-133.33,-0.02,-0.4,-0.4,98.7,,,0,0.2,0.08,-33.33,0.01,-0.1,-0.1,119.6,0.08,3.34,0,0.2,0.82,-2500,-0.25,-5.2,-4.83,171.4,0.04,0.43,0.11,0.2,0.86,62.77,-0.25,24.63,-5.98,168.1,0.12,0.58,0.08,0.2,0.86,62.77,-0.25,24.63,-5.98,168.1,0.12,0.58,0.08,No,,
Nisu Fincap Ltd.,,1,0,0,0,0,36.5,,,0,,1,0,0,0,0,36.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nitco Realties Pvt. Ltd.,,0.32,0,0.27,0,0,1146.6,2.64,115.88,15.31,,0.41,0,-0.12,0,0,1670.6,1.36,109.92,22.78,,0.37,0,0.11,0,0,1604.6,0.93,141.65,21.86,,0.37,0,0,0,0,1605.7,0.95,482.05,21.94,,0.37,42.11,0,1.14,0.05,1605.3,1.8,643.6,21.85,,0.36,,0,-0.14,-0.01,1600,1.87,643.67,21.8,,0.36,0,0,0,0,1600.1,1.93,643.73,21.77,,0.75,0,1.01,0,0,807.5,0,0.52,0,,0.75,,0,-0.14,-0.02,807.5,0,0.52,10.51,,0.71,,0.01,-0.86,-0.08,710.3,0.01,0.6,9.21,,0.71,,0.01,-0.86,-0.08,710.3,0.01,0.6,9.21,No,,
Nitesh Indiranagar Retail Pvt. Ltd.,,0.83,0,-0.02,0,0,1499.4,0.01,0.01,0,,0.7,-3533.33,-0.02,-2.99,-1.85,1332.7,0.07,0.39,0,,0.69,,0,-2.31,-2.31,1653.6,0.01,0.03,0,,0.68,,-0.01,-1.74,-1.73,1653.8,0.05,0.05,0,,0.7,-5133.33,0.05,-2.03,-2.04,1944.2,0.06,0.07,0.01,,0.57,-49.25,-0.51,-1.29,-0.73,5232.9,0.29,0.3,1.55,,0.04,-952.94,0.76,-0.76,-0.43,3563.4,0.02,0.64,0.23,,0.05,-21500,0,-1.72,-1.39,3596.7,0.04,0.73,0.25,,0.13,,-0.12,-14.35,-6.06,3306,0.01,0.23,0,,0.46,-59815.15,0,-168.03,32.99,935,0.01,0.04,0,,0.46,-59815.15,0,-168.03,32.99,935,0.01,0.04,0,No,,
Nitin Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nitin Promotors Ltd.,,0.81,7.69,0,0.4,0.37,40.9,0.05,0.05,0,,0.81,7.69,0,0.4,0.37,40.9,0.05,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nitu Trading Co. Ltd.,,0,0,0,0,0,0.6,,,0,,0,0,0,0,0,0.7,1,1,0,,0.13,0,0,0,0,0.8,0.5,0.5,0.17,0.4,0.13,0,0,0,0,0.8,0.5,0.5,0.17,10.4,0,0,0.01,0,0,10.2,1,1,0,17.5,0.15,-2.26,-0.76,-2.36,-2.36,33.9,26.83,42.83,0,10,0.09,0,0.3,0,0,33.5,80.5,80.5,0,,0,,0.43,-1.82,-1.82,32.7,2,2,0,0.5,0,-120,-0.02,-1.86,-1.86,32.2,2,2,0,,0,-650,0.63,-12.98,-1.66,118.9,0.96,0.96,0,0.1,0.19,-11.9,-0.26,-17.37,-156.37,112.8,0.88,1.12,0,No,,
Nityakunj Chemicals Co. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nityanand Merchantile Ltd.,,0.75,14.29,0,1.65,0.88,26.8,0,1.18,0.2,,0.43,0,0,0,0,12,0,1.24,0.28,,0.43,0,0,0,0,12,0,1.24,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nivedan Fin-Invest-Lease Ltd.,,0.02,,-0.01,-0.31,-0.17,72.7,0.02,0.02,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nivedan Vanijya Niyojan Ltd.,0.5,0.13,96.8,0.21,,,55,2.5,169,0,,0.21,94.64,0.09,9.23,9.2,60.6,2,85.25,0,,0.21,94.64,0.09,9.23,9.2,60.6,2,85.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Nivi Trading Ltd.,,0.66,0,0.03,0,0,10.8,,,0,,0.66,0,0.06,0,0,10.8,,,0,,0.01,66.67,0.61,3.64,3.64,11.2,,,0,,0.01,75,-0.03,5.22,5.22,11.8,,,0,,0.01,0,-0.02,0,0,11.8,,,0,,0.02,-800,-0.08,-7.02,-7.02,11,,,0,,0.04,-400,-0.03,-2.95,-2.95,16.5,0,0,0,,0.09,-100,-0.08,-1.88,-1.88,16.9,92,92,0,0.7,0.11,92.86,0.01,9.45,9.45,18.3,,,0,0.2,0.12,-100,-0.02,-5.26,-5.26,17,,,0,0.2,0.12,-100,-0.02,-5.26,-5.26,17,,,0,No,,
Niwas Residential & Commercial Properties Pvt. Ltd.,0.2,0.07,-26.1,-0.07,-2.72,-0.42,6960.9,0.45,0.45,2.45,,,,,,,,,,,,,,,,,,,,,47,0.07,-1157.74,-0.07,,,9384.2,0.06,0.09,19.14,37.8,0.15,-125.74,0,,-27.78,9445.2,0.07,0.19,,39.5,0.03,-653.73,0.01,,-10.88,9828.7,0.08,0.18,,39.2,0.04,-1831.52,-0.05,,-15.95,11444.2,0.08,0.77,,35.5,0.12,-1319.29,0.05,,-23.89,18728.2,0.01,0.21,,35.5,0.12,-1319.29,0.05,,-23.89,18728.2,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,No,,
Niyaman Electronics Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,0.03,2.9,0,,,6.8,2.13,2.58,0.02,14.4,0.02,2.76,0,8.99,8.79,8.5,1.71,2.11,0.02,12.1,0.02,1.64,0,4.26,4,8.7,1.72,2.17,0.1,16.9,0.02,2.94,0,9.9,9.17,11.8,1.73,1.75,0.06,,0.02,-900,0,-18.56,-17.65,4.8,14,14.33,0.05,,0,23.08,0,12.9,-39.58,5.3,16.67,16.67,0.02,,0,23.08,0,12.9,-39.58,5.3,16.67,16.67,0.02,No,,
Niyogin Fintech Ltd.,,0.47,0,0,0,0,36,,,0,,0.24,0,0,0,0,36,,,0,1,0.07,20,0.01,0.55,0.55,36.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Jan-12
Nizam Sugars Ltd.,8.7,0.03,-400,0,,,1131.8,0.16,0.16,,7.9,0.04,21.88,0,,-113.7,1110.5,0.16,0.16,,0.7,0.04,-201.05,-0.01,,-461.78,849.2,0.06,0.06,,0.7,0.03,-144.73,0.02,,,818.4,2.18,2.18,,0.7,0.02,-442.37,-0.01,,,796.5,3.04,3.04,,0.6,0.04,2.67,0,,,926.1,3.55,3.62,,0.7,0.05,-313.68,0,,,931.8,0.09,0.1,,0.9,0.05,0.13,0.03,,,977.7,0.12,0.12,,0.5,0.05,-0.64,0,,,978.5,0.12,0.12,,,0.05,-309.14,0,,,1001.4,0.12,0.12,,,0.05,-309.14,0,,,1001.4,0.12,0.12,,No,,
Noble Business Solutions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Noble House Securities & Holdings Ltd.,,0.32,-51.35,0,-14.67,-14.62,13.1,8.18,8.18,0.01,,0.44,-400,0,-26.42,-26.29,9.5,7.33,7.33,0,,0.46,-25,0,-1.09,-1.09,9.6,5.4,5.4,0,,0.24,57.14,0,4.32,3.79,12.2,2.5,2.5,0.28,,0.29,56.72,0.28,33.63,25.94,18.6,1.63,1.65,0.31,,0.28,-500,-0.03,-3.86,-1.74,18.4,1.3,1.3,0.35,,0.23,58.82,-0.03,7.58,5.49,20.3,1.26,1.26,0.4,,0.08,-500,-0.02,-11.54,-7.65,20.5,0.91,0.91,0.63,,0.32,-600,-0.08,-10.26,-6.42,18.1,0.33,0.39,0.57,,0.15,81.25,0.01,11.11,7.6,17.1,0.52,0.52,0.37,,0.15,81.25,0.01,11.11,7.6,17.1,0.52,0.52,0.37,No,,
Noel Merchants Pvt. Ltd.,,0.76,0,0,0,0,14.3,0.4,0.4,0,,0.76,0,0,0,0,14.3,0.4,0.4,0,,,,,,,,,,,,0.77,0,0,,,14.1,0,54,0,,0.77,20,0,0.72,0.72,14.6,0,18.83,0,,0.76,16.67,-0.02,0.71,0.71,14.3,0.33,36.67,0,,0.78,16.67,0.03,0.71,0.71,14.8,0.43,16.86,0,,0.83,14.29,-0.01,0.71,0.71,14.6,0.25,30.5,0,,0.83,14.29,-0.01,0.71,0.71,14.6,0.25,30.5,0,,,,,,,,,,,,,,,,,,,,,No,,
Noesis Industries Ltd.,4730.5,0.26,3.48,0.07,13.34,6.18,3280.7,0.86,1.37,1.05,3782.1,0.2,-22.02,0.08,-90.65,-14.45,2244,0.81,1.02,3.21,25.9,0.14,-7426.77,-0.36,,-128.28,1123.7,0.32,0.34,,2,0.07,-622.32,-0.02,,-111.81,225.7,0,0.01,,,0.03,-10690,-1.08,,-75.53,74.2,0,0,,,0.03,-9500,-0.06,,-28.36,79,0,0,,,0.02,-1900,-0.18,,-12.2,68.7,0,0,,,0.02,-6800,0,,-10.36,64,0,0,,,0.02,-6800,0,,-10.36,64,0,0,,,,,,,,,,,,,,,,,,,,,,No,,
Nokia India Pvt. Ltd.,2,0.02,2.95,-0.02,16.98,16.98,111119,1.49,1.7,0,241955,0.02,3.32,0,14.41,14.4,105815,1.83,2.04,0,224392,0.03,2.54,0,9.13,9.14,104490,2.25,2.43,0,104741,0.22,0.28,0.85,0.67,0.44,45232,1.42,1.46,0,8485,0.67,-55.11,-0.01,-22.33,-24.69,53311,1.13,1.14,0,11,0.47,-1515.91,0,-10.25,-9.67,30745,1.22,1.24,0,6,0.55,-1009.09,0,-3.66,-3.66,35103,1.06,1.07,0,1,0.33,-1286.58,-0.04,-71.44,-6.4,23662,0.96,0.96,0,2,0.56,-367.16,0.02,-22.85,-12.29,32975,0.54,0.54,0,12,0.64,81.17,-0.07,44.89,38.18,37982,0.54,0.54,0,12,0.64,81.17,-0.07,44.89,38.18,37982,0.54,0.54,0,No,,
Nokia India Sales Pvt. Ltd.,,0,-37.5,0.01,,,506.9,85.71,85.71,0,,0.02,63.71,-0.03,4.75,4.75,540.7,35.25,35.25,0,,0.01,2.88,0.68,64.84,46.45,23537,0.9,1.04,0,74468.8,0.05,2.65,-0.66,98.74,98.42,13184.7,0.88,1.29,0,,0.21,2.43,-0.43,36.96,13.02,17082.8,1.01,1.23,0,,0.2,7.33,0.39,18.13,2.73,15315.2,1.65,1.65,0,,0.01,47.41,-0.03,6.46,6.28,13103.4,1.71,1.71,0,,0.04,56.89,-0.03,7.59,7.59,13559.4,1.76,1.76,0,,0.08,47.67,-1.08,6.48,-0.05,6726.7,120.02,120.05,0,,0.07,19.15,-0.02,1.39,-0.11,6856.5,37.11,37.11,0,,0.07,19.15,-0.02,1.39,-0.11,6856.5,37.11,37.11,0,No,,
Nomura Capital (India) Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,50.83,0.16,,,6754.7,24.35,24.36,0.02,,0.12,44.09,0.16,4.1,3.98,6999.1,26.73,26.73,0.02,,0.19,45.3,-0.04,5.22,4.6,9000,3.9,3.98,0.25,,0.14,42.41,0.1,4.85,4.07,8556,7.35,7.35,0.11,,0.16,22.34,0.1,1.99,1.87,8025.9,1.49,1.49,0,,0.17,9.36,-0.01,1,0.89,8377.3,1.25,1.25,0.01,,0.17,9.36,-0.01,1,0.89,8377.3,1.25,1.25,0.01,No,,
Nomura Fixed Income Securities Pvt. Ltd.,,,,,,,,,,,,0.07,0.79,-0.36,,,26915,0.44,1.09,4.63,,0.01,11.07,0.06,6.04,1.14,24818.1,0.14,1.19,4.03,,0.05,28.65,0.43,21.53,5.56,15981.7,0.19,1.48,1.88,,0.08,24.3,0.12,11.99,4.57,15331.1,0.08,1.61,1.38,,0.05,2.83,-0.32,0.95,0.3,27083,0.21,1.26,2.89,,0.07,24.38,-0.12,17.18,4.42,31985.6,0.48,1.26,2.99,,0.09,5.93,-0.03,2.85,0.65,42650.9,0.39,0.39,3.94,,0.05,19.11,-0.02,11.97,2.06,57968.2,1.37,1.37,5.58,,0.07,22.3,-0.07,14.07,2.2,62746.4,2.32,2.32,5.22,,0.07,22.3,-0.07,14.07,2.2,62746.4,2.32,2.32,5.22,No,,
Nonstop Plantation Ltd.,,0.06,40,0.02,1.07,1.07,38.2,0,0,0,,0.06,0,0,0,0,38.1,0,0,0,,0.06,0,-0.05,0,0,38,6.33,6.33,0,,0.26,-33.33,-0.33,-0.27,-0.27,38,35.75,35.75,0,,0.26,-33.33,-0.33,-0.27,-0.27,38,35.75,35.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Norfolk Technology Services Ltd.,5.2,0,28.92,0,4.89,4.92,438.8,3.41,3.41,0,5.2,0,28.92,0,4.89,4.92,438.8,3.41,3.41,0,,0,33.27,0,,,465.3,17.24,17.24,0,,0,30.81,-0.05,4.6,4.54,486.2,19.24,19.24,0,,0,21.71,0.02,2.36,3.74,490.2,20.97,20.97,0,,0,21.71,0.02,2.36,3.74,490.2,20.97,20.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Norfolk Trading Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
North Bengal Dairy Farming Ltd.,,0.33,0,0,,,4.2,,,,5.7,0.23,0,0,,0,6,1.57,1.57,,0.9,0.38,0,-0.41,,0,3.4,,,,0.2,0.38,0,0,,0,3.4,,,,,0.97,0,0,,0,3.5,1,1,,0.4,1,0,0.23,,0,1.3,0,0,,0.1,1,0,-0.08,,0,1.3,0,0,,,1,0,0,,0,1.3,0,0,,,1,0,0,,0,1.3,0,0,,,1,0,0,,0,1.3,0,0,,,1,0,0,,0,1.3,0,0,,No,,
North East Cements Ltd.,,0,0,0,,,3.2,,,0,,0,0,0,,,3.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,3.1,,,0,,0,50,-0.03,3.28,3.28,3.2,,,0,,0,0,0,0,0,3.1,,,0,,0,0,0,0,0,3.2,32,32,0,,0,0,0,0,0,3.2,32,32,0,,0,0,0,0,0,3.2,32,32,0,No,,
North East Region Finservices Ltd.,3.6,0.87,6.04,0,4.14,1.35,2468.2,0.1,0.1,2.14,3.6,0.87,6.04,0,4.14,1.35,2468.2,0.1,0.1,2.14,,,,,,,,,,,3.5,0.88,8.23,0,,,4406.8,0.09,0.09,2.52,3.9,0.91,-14.63,-0.2,-9.98,-2.8,4317.5,0.14,0.14,2.5,3.3,0.83,-189.89,0,-124.69,-23.71,4483.1,0.27,0.27,11.9,2.7,0.78,-715.92,0.04,,-74.7,4522.9,0.26,0.26,,0.6,0.76,-378.47,0,,-43.93,4522.9,0.27,0.27,,0.6,0.76,-378.47,0,,-43.93,4522.9,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,No,,
North East Small Finance Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66.67,0,,,1129.2,44.99,44.99,0,,0.7,20.85,-0.73,10.48,2.61,15509.5,0.81,0.81,3.42,,0.78,12.87,-0.06,11.05,2.59,17700.3,1.58,1.58,3.12,,0.66,3.85,0.2,3.51,0.82,20673.2,12.38,12.38,2.05,,0.66,3.85,0.2,3.51,0.82,20673.2,12.38,12.38,2.05,No,,
North Eastern Devp. Finance Corpn. Ltd.,13.1,0.78,47.48,-0.13,11.74,3.85,8813.4,2.62,2.63,0.85,13.3,0.82,49.75,-0.12,12.67,5.71,10126.3,1.86,1.86,0.97,24.9,0.89,49.92,-0.08,12.67,6.08,11664.1,2,2,1.04,32.2,0.89,45,-0.03,11.68,5.47,12904.6,1.81,1.81,1.04,42.6,0.89,51.4,-0.04,12.41,5.66,14353.9,1.51,1.51,1.03,45.4,0.84,40.44,0.06,9.18,3.28,15307.9,2.56,2.57,0.97,55,0.79,31.29,0,6.34,2.75,16723.1,2.94,2.94,1,27.1,0.54,32.28,0,7.72,3.25,22607.7,8.92,8.92,0.57,51.5,0.6,31.2,0,7.64,2.08,18808,1.05,1.05,0.53,56,0.61,21.58,0,4.02,2.5,18321.8,0.89,0.89,0.54,56,0.61,21.58,0,4.02,2.5,18321.8,0.89,0.89,0.54,No,,
